molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pIC50,pchembl_value,assay_chembl_id,document_chembl_id,target_chembl_id,target_pref_name,target_organism,assay_type,activity_comment
CHEMBL6027892,CC(C)c1nccn1Cc1cn(-c2ccc(Cl)c(Cl)c2)nn1,IC50,=,7.4,nM,8.130768280269024,8.13,CHEMBL5733977,CHEMBL5727077,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,792983
CHEMBL6027892,CC(C)c1nccn1Cc1cn(-c2ccc(Cl)c(Cl)c2)nn1,IC50,=,7.4,nM,8.130768280269024,8.13,CHEMBL5734036,CHEMBL5727110,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,796385
CHEMBL6028836,CCc1nccn1Cc1cn(-c2ccc(Cl)c(C)c2)nn1,IC50,=,1.84,nM,8.735182176990463,8.73,CHEMBL5733977,CHEMBL5727077,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,793018
CHEMBL6028836,CCc1nccn1Cc1cn(-c2ccc(Cl)c(C)c2)nn1,IC50,=,1.84,nM,8.735182176990463,8.73,CHEMBL5734036,CHEMBL5727110,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,796420
CHEMBL6029215,O=c1cc(-c2cc3ccncc3n2-c2ccc(Cl)cc2)cc[nH]1,IC50,=,5500.0,nM,5.259637310505756,5.26,CHEMBL5734464,CHEMBL5727342,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,830451
CHEMBL6029215,O=c1cc(-c2cc3ccncc3n2-c2ccc(Cl)cc2)cc[nH]1,IC50,=,5500.0,nM,5.259637310505756,5.26,CHEMBL5734466,CHEMBL5727343,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,830664
CHEMBL6029215,O=c1cc(-c2cc3ccncc3n2-c2ccc(Cl)cc2)cc[nH]1,IC50,=,5500.0,nM,5.259637310505756,5.26,CHEMBL5735756,CHEMBL5727959,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,955378
CHEMBL603052,Cc1nc2nc(N3CCN4CCC3CC4)oc2cc1Cl,IC50,=,16200.0,nM,4.790484985457369,4.79,CHEMBL1069497,CHEMBL1159071,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,
CHEMBL603052,Cc1nc2nc(N3CCN4CCC3CC4)oc2cc1Cl,IC50,=,16200.0,nM,4.790484985457369,4.79,CHEMBL2157810,CHEMBL2151039,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,
CHEMBL6033368,Cc1ccc(-n2cc(Cn3ccnc3C3CC3)nn2)cc1F,IC50,=,87.1,nM,7.059981844992337,7.06,CHEMBL5733977,CHEMBL5727077,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,793011
CHEMBL6033368,Cc1ccc(-n2cc(Cn3ccnc3C3CC3)nn2)cc1F,IC50,=,87.1,nM,7.059981844992337,7.06,CHEMBL5734036,CHEMBL5727110,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,796413
CHEMBL6034751,FC(F)c1cc(-n2cc(Cn3ccnc3C3CC3)nn2)ccc1Cl,IC50,=,15.4,nM,7.8124792791635365,7.81,CHEMBL5733977,CHEMBL5727077,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,793038
CHEMBL6034751,FC(F)c1cc(-n2cc(Cn3ccnc3C3CC3)nn2)ccc1Cl,IC50,=,15.4,nM,7.8124792791635365,7.81,CHEMBL5734036,CHEMBL5727110,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,796440
CHEMBL6035199,FC(F)(F)c1cc(-n2cc(Cn3ccnc3C3CC3)nn2)ccc1Cl,IC50,=,38.0,nM,7.42021640338319,7.42,CHEMBL5733977,CHEMBL5727077,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,793014
CHEMBL6035199,FC(F)(F)c1cc(-n2cc(Cn3ccnc3C3CC3)nn2)ccc1Cl,IC50,=,38.0,nM,7.42021640338319,7.42,CHEMBL5734036,CHEMBL5727110,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,796416
CHEMBL6037809,Cc1nc[nH]c1CN1CCC2(CC1)COC1c3ccc(Cl)cc3OC(C)(C)C1C2,IC50,=,400.0,nM,6.3979400086720375,6.4,CHEMBL5735953,CHEMBL5728060,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,971754
CHEMBL6037809,Cc1nc[nH]c1CN1CCC2(CC1)COC1c3ccc(Cl)cc3OC(C)(C)C1C2,IC50,=,600.0,nM,6.221848749616356,6.22,CHEMBL5735953,CHEMBL5728060,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,971753
CHEMBL6037809,Cc1nc[nH]c1CN1CCC2(CC1)COC1c3ccc(Cl)cc3OC(C)(C)C1C2,IC50,=,1400.0,nM,5.853871964321762,5.85,CHEMBL5735953,CHEMBL5728060,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,971755
CHEMBL6039551,COc1cnc(OCCNCCCF)cc1[C@@H]1c2[nH]c3ccccc3c2C[C@@H](C)N1CC(F)(F)F,IC50,=,8200.0,nM,5.086186147616283,5.09,CHEMBL5733101,CHEMBL5726655,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,714790
