molecule_chembl_id,canonical_smiles,median_pIC50,mean_pIC50,min_pIC50,max_pIC50,number_of_measurements,pIC50_std,pIC50_range,variability,unique_assays,unique_documents,min_IC50_nM,max_IC50_nM,MolWt,LogP,HBD,HBA,TPSA,RotatableBonds,RingCount,AromaticRings,FractionCSP3,HeavyAtomCount,FormalCharge,NumAtoms
CHEMBL3582320,CCc1nc([C@]2(c3cnn(C)c3)N[C@@H](c3nc(-c4ccc(F)cn4)c[nH]3)Cc3c2[nH]c2ccccc32)no1,5.017728766960431,5.017728766960431,5.017728766960431,5.017728766960431,1,0.0,0.0,Low,1,1,9600.0,9600.0,509.5490000000002,3.949900000000002,3.0,7.0,126.13,5.0,7.0,6.0,0.2222222222222222,38.0,0.0,38.0
CHEMBL3582321,Cc1nc([C@]2(c3cnn(CC4CC4)c3)N[C@@H](c3nc(-c4ccc(F)cn4)c[nH]3)Cc3c2[nH]c2ccccc32)no1,5.494850021680094,5.494850021680094,5.494850021680094,5.494850021680094,1,0.0,0.0,Low,1,1,3200.0,3200.0,535.5870000000002,4.568920000000003,3.0,7.0,126.13,6.0,8.0,6.0,0.27586206896551724,40.0,0.0,40.0
CHEMBL3582322,Cn1cc([C@@]2(c3noc(O)n3)N[C@@H](c3nc(-c4ccc(F)cn4)c[nH]3)Cc3c2[nH]c2ccccc32)cn1,5.920818753952375,5.920818753952375,5.920818753952375,5.920818753952375,1,0.0,0.0,Low,1,1,1200.0,1200.0,497.4940000000002,3.0931000000000006,4.0,8.0,146.36,4.0,7.0,6.0,0.16,37.0,0.0,37.0
CHEMBL3582323,Cn1cc([C@@]2(c3noc(CN)n3)N[C@@H](c3nc(-c4ccc(F)cn4)c[nH]3)Cc3c2[nH]c2ccccc32)cn1,5.431798275933005,5.431798275933005,5.431798275933005,5.431798275933005,1,0.0,0.0,Low,1,1,3700.0,3700.0,510.53700000000015,2.8462000000000005,4.0,8.0,152.14999999999998,5.0,7.0,6.0,0.19230769230769232,38.0,0.0,38.0
CHEMBL3582324,Cc1nnc([C@]2(c3cnn(C)c3)N[C@@H](c3nc(-c4ccc(F)cn4)c[nH]3)Cc3c2[nH]c2ccccc32)o1,5.494850021680094,5.494850021680094,5.494850021680094,5.494850021680094,1,0.0,0.0,Low,1,1,3200.0,3200.0,495.52200000000016,3.695920000000002,3.0,7.0,126.13000000000001,4.0,7.0,6.0,0.19230769230769232,37.0,0.0,37.0
CHEMBL3582325,CCc1nnc([C@]2(c3cnn(C)c3)N[C@@H](c3nc(-c4ccc(F)cn4)c[nH]3)Cc3c2[nH]c2ccccc32)o1,5.366531544420413,5.366531544420413,5.366531544420413,5.366531544420413,1,0.0,0.0,Low,1,1,4300.0,4300.0,509.54900000000015,3.949900000000002,3.0,7.0,126.13000000000001,5.0,7.0,6.0,0.2222222222222222,38.0,0.0,38.0
CHEMBL3582326,CCn1cc([C@@]2(c3nnc(C)o3)N[C@@H](c3nc(-c4ccc(F)cn4)c[nH]3)Cc3c2[nH]c2ccccc32)cn1,5.070581074285707,5.070581074285707,5.070581074285707,5.070581074285707,1,0.0,0.0,Low,1,1,8500.0,8500.0,509.5490000000002,4.178820000000002,3.0,7.0,126.13000000000001,5.0,7.0,6.0,0.2222222222222222,38.0,0.0,38.0
CHEMBL3582327,CCn1cc([C@@]2(c3nnc(O)o3)N[C@@H](c3nc(-c4ccc(F)cn4)c[nH]3)Cc3c2[nH]c2ccccc32)cn1,4.649751981665837,4.649751981665837,4.649751981665837,4.649751981665837,1,0.0,0.0,Low,1,1,22400.0,22400.0,511.5210000000002,3.5760000000000014,4.0,8.0,146.36,5.0,7.0,6.0,0.19230769230769232,38.0,0.0,38.0
CHEMBL3582328,CCn1cc([C@@]2(c3nnc(S)o3)N[C@@H](c3nc(-c4ccc(F)cn4)c[nH]3)Cc3c2[nH]c2ccccc32)cn1,4.982966660701219,4.982966660701219,4.982966660701219,4.982966660701219,1,0.0,0.0,Low,1,1,10400.0,10400.0,527.5890000000002,4.159100000000002,4.0,8.0,126.13000000000001,5.0,7.0,6.0,0.19230769230769232,38.0,0.0,38.0
CHEMBL3582329,CCn1cc([C@@]2(c3nnc(SC)o3)N[C@@H](c3nc(-c4ccc(F)cn4)c[nH]3)Cc3c2[nH]c2ccccc32)cn1,5.795880017344075,5.795880017344075,5.795880017344075,5.795880017344075,1,0.0,0.0,Low,1,1,1600.0,1600.0,541.6160000000002,4.5923000000000025,3.0,8.0,126.13000000000001,6.0,7.0,6.0,0.2222222222222222,39.0,0.0,39.0
