molecule_chembl_id,canonical_smiles,median_pIC50,mean_pIC50,min_pIC50,max_pIC50,number_of_measurements,pIC50_std,pIC50_range,variability,unique_assays,unique_documents,min_IC50_nM,max_IC50_nM
CHEMBL584087,CC1(C)Oc2cccc(CN3CCC4(CC3)CCN(C(=O)c3ccnc(N)c3)CC4)c2O1,5.449999293727862,5.449999293727862,4.779999975777493,6.119998611678231,2,0.9475221222261352,1.3399986359007379,High,2,1,758.58,16595.87
CHEMBL5841669,FC(F)(F)c1ccc(C(F)(F)CN2CCC(Nc3ncnc4[nH]ccc34)CC2)cn1,5.221848749616356,5.221848749616356,5.221848749616356,5.221848749616356,3,0.0,0.0,Low,3,3,6000.0,6000.0
CHEMBL5841969,CC(C)Oc1ccc(CCC(C)(C)N2Cc3ccc(F)cc3C2)cc1OC(C)C,6.096910013008056,6.096910013008056,6.096910013008056,6.096910013008056,1,0.0,0.0,Low,1,1,800.0,800.0
CHEMBL5842189,Cc1nccn1CCN1CCC2(CC1)COC1c3ccc(Cl)cc3OC(C)(C)C1C2,5.853871964321762,5.907846065275585,5.823908740944319,6.045757490560675,3,0.12037075893636004,0.22184874961635614,Low,1,1,900.0,1500.0
CHEMBL5842465,C[C@H]([C@H]1CN(C2CCN(c3nnc(N)[nH]3)CC2)[C@@H](Cc2ccc(Cl)cc2)CO1)n1cccn1,4.204119982655925,4.204119982655925,4.204119982655925,4.204119982655925,1,0.0,0.0,Low,1,1,62500.0,62500.0
CHEMBL5842725,COc1cc(CCC(C)(C)N2Cc3cccc(F)c3C2)ccc1OCCO,7.00436480540245,7.00436480540245,7.00436480540245,7.00436480540245,1,0.0,0.0,Low,1,1,99.0,99.0
CHEMBL5843294,COc1cncc(OCC2(CN)CC2)c1-c1cc(Nc2cnc(C#N)cn2)n[nH]1,5.292429823902063,5.292429823902063,5.292429823902063,5.292429823902063,1,0.0,0.0,Low,1,1,5100.0,5100.0
CHEMBL5843724,Cc1cc(C)c([C@H](CCN2C3CCC2CC(n2c(C)nnc2C(C)C)C3)NC(=O)C2CCCCC2)s1,6.09151498112135,6.09151498112135,6.09151498112135,6.09151498112135,1,0.0,0.0,Low,1,1,810.0,810.0
CHEMBL5843847,OCCc1nccn1Cn1cc(-c2ccc(S(F)(F)(F)(F)F)cc2)nn1,6.580044251510242,6.580044251510242,6.580044251510242,6.580044251510242,1,0.0,0.0,Low,1,1,263.0,263.0
CHEMBL5844083,CCN(CCN1CCC(c2noc3cc(F)ccc23)CC1)C(=O)[C@H](C)O,5.318758762624412,5.318758762624412,5.318758762624412,5.318758762624412,1,0.0,0.0,Low,1,1,4800.0,4800.0
CHEMBL5844582,CCN(CCN1CCC(C2NOc3cc(F)ccc32)CC1)C(=O)C(O)COC,5.3872161432802645,5.3872161432802645,5.3872161432802645,5.3872161432802645,1,0.0,0.0,Low,1,1,4100.0,4100.0
CHEMBL5844716,COc1cc(CC[C@@H](C)N2Cc3ccc(F)cc3C2)ccc1OCCO,5.327902142064282,5.327902142064282,5.327902142064282,5.327902142064282,1,0.0,0.0,Low,1,1,4700.0,4700.0
CHEMBL584538,O=c1cc(OCc2ccc(F)cc2)ccn1-c1ccc(OCCN2CCCC2)cc1,8.045757490560675,8.045757490560675,8.045757490560675,8.045757490560675,1,0.0,0.0,Low,1,1,9.0,9.0
CHEMBL584549,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@]1(C)O,8.0,8.0,8.0,8.0,1,0.0,0.0,Low,1,1,10.0,10.0
CHEMBL5845571,CC(C)CN1CCN(C2CCN(c3nnc(N)[nH]3)CC2)[C@@H](Cc2ccc(Cl)cc2)C1,5.259637310505756,5.259637310505756,5.259637310505756,5.259637310505756,1,0.0,0.0,Low,1,1,5500.0,5500.0
CHEMBL5845636,Cc1nc([C@H]2CN(C3CCN(c4nnc(N)[nH]4)CC3)[C@@H](Cc3ccc(Cl)cc3)CO2)oc1C,5.259637310505756,5.259637310505756,5.259637310505756,5.259637310505756,1,0.0,0.0,Low,1,1,5500.0,5500.0
CHEMBL5845991,CC(C)n1c(N2CCNC[C@H]2C)nc2c([N+](=O)[O-])c(Br)c(Br)cc21,5.910094888560602,5.910094888560602,5.910094888560602,5.910094888560602,1,0.0,0.0,Low,1,1,1230.0,1230.0
CHEMBL5846320,Cn1cncc1-c1cc2ccncc2n1-c1ccc(Cl)cc1,5.259637310505756,5.259637310505756,5.259637310505756,5.259637310505756,3,0.0,0.0,Low,3,3,5500.0,5500.0
CHEMBL5846746,COc1ccc(O[C@@H](C)CNCCCF)cc1[C@@H]1c2[nH]c3ccccc3c2C[C@@H](C)N1CC(F)(F)CO,5.568636235841012,5.568636235841012,5.568636235841012,5.568636235841012,3,0.0,0.0,Low,3,3,2700.0,2700.0
CHEMBL5847114,C[C@H]1OC(=O)[C@]2(C(N)=O)CC(F)(F)[C@@H](C)[C@H](/C=C/c3ccc(-c4ccccc4C#N)cn3)[C@H]12,4.357535479757878,4.357535479757878,4.357535479757878,4.357535479757878,1,0.0,0.0,Low,1,1,43900.0,43900.0
CHEMBL584766,N#Cc1cc(-c2cnc3nc(N4CCC(N5CCCCC5)CC4)sc3c2)ccc1F,6.9956356288922485,6.9956356288922485,6.9956356288922485,6.9956356288922485,1,0.0,0.0,Low,1,1,101.01,101.01
CHEMBL5849289,CNC[C@H](c1ccc2ccccc2c1)[C@H](O)c1ccc(Cl)s1,5.6777807052660805,5.6777807052660805,5.6777807052660805,5.6777807052660805,1,0.0,0.0,Low,1,1,2100.0,2100.0
CHEMBL5849595,Cc1c(OCCNCCCF)ncc(F)c1[C@@H]1c2[nH]c3ccccc3c2C[C@@H](C)N1CC(F)(F)CO,5.552841968657781,5.552841968657781,5.552841968657781,5.552841968657781,3,0.0,0.0,Low,3,3,2800.0,2800.0
CHEMBL5850263,Clc1ccc(-n2c(-c3ccncc3Cl)cc3ccncc32)cc1,5.259637310505756,5.259637310505756,5.259637310505756,5.259637310505756,3,0.0,0.0,Low,3,3,5500.0,5500.0
