molecule_chembl_id,number_of_measurements,mean_pIC50,median_pIC50,min_pIC50,max_pIC50,std_pIC50,mean_IC50_nM,min_IC50_nM,max_IC50_nM,unique_assays,unique_documents,unique_SMILES,pIC50_range,variability,multiple_assays,multiple_documents,multiple_SMILES
CHEMBL393718,2,5.455931955649724,5.455931955649724,5.455931955649724,5.455931955649724,0.0,3500.0,3500.0,3500.0,2,2,1,0.0,Low,True,True,False
CHEMBL3967984,2,5.045757490560675,5.045757490560675,5.045757490560675,5.045757490560675,0.0,9000.0,9000.0,9000.0,2,2,1,0.0,Low,True,True,False
CHEMBL3973534,2,6.301029995663981,6.301029995663981,6.301029995663981,6.301029995663981,0.0,500.0,500.0,500.0,2,2,1,0.0,Low,True,True,False
CHEMBL3983509,2,6.698970004336019,6.698970004336019,6.698970004336019,6.698970004336019,0.0,200.0,200.0,200.0,2,2,1,0.0,Low,True,True,False
CHEMBL401895,2,5.920818753952375,5.920818753952375,5.920818753952375,5.920818753952375,0.0,1200.0,1200.0,1200.0,2,2,1,0.0,Low,True,True,False
CHEMBL4066553,2,5.42021640338319,5.42021640338319,5.42021640338319,5.42021640338319,0.0,3800.0,3800.0,3800.0,2,2,1,0.0,Low,True,True,False
CHEMBL4069395,2,5.0,5.0,5.0,5.0,0.0,10000.0,10000.0,10000.0,2,2,1,0.0,Low,True,True,False
CHEMBL4076061,2,4.987162775294828,4.987162775294828,4.987162775294828,4.987162775294828,0.0,10300.0,10300.0,10300.0,2,2,1,0.0,Low,True,True,False
CHEMBL4098822,2,4.823908740944319,4.823908740944319,4.823908740944319,4.823908740944319,0.0,15000.0,15000.0,15000.0,2,2,1,0.0,Low,True,True,False
CHEMBL4099807,2,4.698970004336019,4.698970004336019,4.698970004336019,4.698970004336019,0.0,20000.0,20000.0,20000.0,2,2,1,0.0,Low,True,True,False
CHEMBL4100435,2,6.0,6.0,6.0,6.0,0.0,1000.0,1000.0,1000.0,2,2,1,0.0,Low,True,True,False
CHEMBL4102566,2,5.3979400086720375,5.3979400086720375,5.3979400086720375,5.3979400086720375,0.0,4000.0,4000.0,4000.0,2,2,1,0.0,Low,True,True,False
CHEMBL4107016,2,4.229147988357856,4.229147988357856,4.229147988357856,4.229147988357856,0.0,59000.0,59000.0,59000.0,2,2,1,0.0,Low,True,True,False
CHEMBL4107668,2,4.6020599913279625,4.6020599913279625,4.6020599913279625,4.6020599913279625,0.0,25000.0,25000.0,25000.0,2,2,1,0.0,Low,True,True,False
CHEMBL4107759,2,5.007004901568658,5.007004901568658,5.007004901568658,5.007004901568658,0.0,9840.0,9840.0,9840.0,2,2,1,0.0,Low,True,True,False
CHEMBL4107878,2,4.758951849328356,4.758951849328356,4.758951849328356,4.758951849328356,0.0,17420.0,17420.0,17420.0,2,2,1,0.0,Low,True,True,False
CHEMBL4110584,2,4.9434762759209,4.9434762759209,4.9434762759209,4.9434762759209,0.0,11390.0,11390.0,11390.0,2,2,1,0.0,Low,True,True,False
CHEMBL4110737,2,4.135607594849411,4.135607594849411,4.135607594849411,4.135607594849411,0.0,73180.0,73180.0,73180.0,2,2,1,0.0,Low,True,True,False
CHEMBL4112613,2,4.920818753952375,4.920818753952375,4.920818753952375,4.920818753952375,0.0,12000.0,12000.0,12000.0,2,2,1,0.0,Low,True,True,False
CHEMBL4114218,2,4.698970004336019,4.698970004336019,4.698970004336019,4.698970004336019,0.0,20000.0,20000.0,20000.0,2,2,1,0.0,Low,True,True,False
CHEMBL4114258,2,4.154901959985743,4.154901959985743,4.154901959985743,4.154901959985743,0.0,70000.0,70000.0,70000.0,2,2,1,0.0,Low,True,True,False
CHEMBL4174323,2,5.6777807052660805,5.6777807052660805,5.6777807052660805,5.6777807052660805,0.0,2100.0,2100.0,2100.0,2,2,1,0.0,Low,True,True,False
CHEMBL4280558,2,6.522878745280337,6.522878745280337,6.522878745280337,6.522878745280337,0.0,300.0,300.0,300.0,2,2,1,0.0,Low,True,True,False
CHEMBL4283367,2,5.221848749616356,5.221848749616356,5.221848749616356,5.221848749616356,0.0,6000.0,6000.0,6000.0,2,2,1,0.0,Low,True,True,False
CHEMBL4288439,2,6.638272163982407,6.638272163982407,6.638272163982407,6.638272163982407,0.0,230.0,230.0,230.0,2,2,1,0.0,Low,True,True,False
CHEMBL4290141,2,5.200659450546418,5.200659450546418,5.200659450546418,5.200659450546418,0.0,6300.0,6300.0,6300.0,2,2,1,0.0,Low,True,True,False
CHEMBL4290774,2,5.221848749616356,5.221848749616356,5.221848749616356,5.221848749616356,0.0,6000.0,6000.0,6000.0,2,2,1,0.0,Low,True,True,False
CHEMBL4297310,2,5.430626090384954,5.430626090384954,5.430626090384954,5.430626090384954,0.0,3710.0,3710.0,3710.0,2,2,1,0.0,Low,True,True,False
CHEMBL4439006,2,4.769551078621726,4.769551078621726,4.769551078621726,4.769551078621726,0.0,17000.0,17000.0,17000.0,2,1,1,0.0,Low,True,False,False
CHEMBL4483673,2,6.3979400086720375,6.3979400086720375,6.3979400086720375,6.3979400086720375,0.0,400.0,400.0,400.0,2,2,1,0.0,Low,True,True,False
CHEMBL4529465,2,4.886056647693163,4.886056647693163,4.886056647693163,4.886056647693163,0.0,13000.0,13000.0,13000.0,2,2,1,0.0,Low,True,True,False
CHEMBL453654,2,5.42021640338319,5.42021640338319,5.42021640338319,5.42021640338319,0.0,3800.0,3800.0,3800.0,2,2,1,0.0,Low,True,True,False
CHEMBL453893,2,5.958607314841775,5.958607314841775,5.958607314841775,5.958607314841775,0.0,1100.0,1100.0,1100.0,2,2,1,0.0,Low,True,True,False
CHEMBL453894,2,6.455931955649724,6.455931955649724,6.455931955649724,6.455931955649724,0.0,350.0,350.0,350.0,2,2,1,0.0,Low,True,True,False
CHEMBL4541206,2,6.3979400086720375,6.3979400086720375,6.3979400086720375,6.3979400086720375,0.0,400.0,400.0,400.0,2,2,1,0.0,Low,True,True,False
CHEMBL454642,2,5.102372908709558,5.102372908709558,5.102372908709558,5.102372908709558,0.0,7900.0,7900.0,7900.0,2,2,1,0.0,Low,True,True,False
CHEMBL454879,2,5.366531544420413,5.366531544420413,5.366531544420413,5.366531544420413,0.0,4300.0,4300.0,4300.0,2,2,1,0.0,Low,True,True,False
CHEMBL455681,2,5.537602002101044,5.537602002101044,5.537602002101044,5.537602002101044,0.0,2900.0,2900.0,2900.0,2,2,1,0.0,Low,True,True,False
CHEMBL4594376,2,3.6643415477106975,3.6643415477106975,3.6643415477106975,3.6643415477106975,0.0,216600.0,216600.0,216600.0,2,2,1,0.0,Low,True,True,False
CHEMBL4632807,2,6.065501548756432,6.065501548756432,6.065501548756432,6.065501548756432,0.0,860.0,860.0,860.0,2,2,1,0.0,Low,True,True,False
CHEMBL4634867,2,5.366531544420413,5.366531544420413,5.366531544420413,5.366531544420413,0.0,4300.0,4300.0,4300.0,2,2,1,0.0,Low,True,True,False
CHEMBL4635900,2,4.958607314841775,4.958607314841775,4.958607314841775,4.958607314841775,0.0,11000.0,11000.0,11000.0,2,2,1,0.0,Low,True,True,False
CHEMBL468397,2,6.7495799976911055,6.7495799976911055,6.7495799976911055,6.7495799976911055,0.0,178.0,178.0,178.0,2,2,1,0.0,Low,True,True,False
CHEMBL4741793,2,4.924453038607469,4.924453038607469,4.924453038607469,4.924453038607469,0.0,11900.0,11900.0,11900.0,2,2,1,0.0,Low,True,True,False
CHEMBL4755698,2,4.954677021213342,4.954677021213342,4.954677021213342,4.954677021213342,0.0,11100.0,11100.0,11100.0,2,2,1,0.0,Low,True,True,False
CHEMBL476106,2,5.221848749616356,5.221848749616356,5.221848749616356,5.221848749616356,0.0,6000.0,6000.0,6000.0,2,2,1,0.0,Low,True,True,False
CHEMBL4762625,2,5.552841968657781,5.552841968657781,5.552841968657781,5.552841968657781,0.0,2800.0,2800.0,2800.0,2,2,1,0.0,Low,True,True,False
CHEMBL476322,2,6.455931955649724,6.455931955649724,6.455931955649724,6.455931955649724,0.0,350.0,350.0,350.0,2,2,1,0.0,Low,True,True,False
CHEMBL476723,2,5.301029995663981,5.301029995663981,5.301029995663981,5.301029995663981,0.0,5000.0,5000.0,5000.0,2,2,1,0.0,Low,True,True,False
CHEMBL476954,2,4.607303046740334,4.607303046740334,4.607303046740334,4.607303046740334,0.0,24700.0,24700.0,24700.0,2,2,1,0.0,Low,True,True,False
CHEMBL477363,2,5.09151498112135,5.09151498112135,5.09151498112135,5.09151498112135,0.0,8100.0,8100.0,8100.0,2,2,1,0.0,Low,True,True,False
CHEMBL477364,2,5.585026652029182,5.585026652029182,5.585026652029182,5.585026652029182,0.0,2600.0,2600.0,2600.0,2,2,1,0.0,Low,True,True,False
CHEMBL478615,2,5.173925197299173,5.173925197299173,5.173925197299173,5.173925197299173,0.0,6700.0,6700.0,6700.0,2,2,1,0.0,Low,True,True,False
CHEMBL478616,2,5.795880017344075,5.795880017344075,5.795880017344075,5.795880017344075,0.0,1600.0,1600.0,1600.0,2,2,1,0.0,Low,True,True,False
CHEMBL479036,2,5.4089353929735005,5.4089353929735005,5.4089353929735005,5.4089353929735005,0.0,3900.0,3900.0,3900.0,2,2,1,0.0,Low,True,True,False
CHEMBL479241,2,5.958607314841775,5.958607314841775,5.958607314841775,5.958607314841775,0.0,1100.0,1100.0,1100.0,2,2,1,0.0,Low,True,True,False
CHEMBL479242,2,5.180456064458131,5.180456064458131,5.180456064458131,5.180456064458131,0.0,6600.0,6600.0,6600.0,2,2,1,0.0,Low,True,True,False
CHEMBL479252,2,5.6020599913279625,5.6020599913279625,5.6020599913279625,5.6020599913279625,0.0,2500.0,2500.0,2500.0,2,2,1,0.0,Low,True,True,False
CHEMBL4796370,2,5.585026652029182,5.585026652029182,5.585026652029182,5.585026652029182,0.0,2600.0,2600.0,2600.0,2,2,1,0.0,Low,True,True,False
CHEMBL487059,2,6.769551078621726,6.769551078621726,6.769551078621726,6.769551078621726,0.0,170.0,170.0,170.0,2,2,1,0.0,Low,True,True,False
CHEMBL487060,2,6.337242168318426,6.337242168318426,6.337242168318426,6.337242168318426,0.0,460.0,460.0,460.0,2,2,1,0.0,Low,True,True,False
CHEMBL487064,2,5.552841968657781,5.552841968657781,5.552841968657781,5.552841968657781,0.0,2800.0,2800.0,2800.0,2,2,1,0.0,Low,True,True,False
CHEMBL487230,2,5.7447274948966935,5.7447274948966935,5.7447274948966935,5.7447274948966935,0.0,1800.0,1800.0,1800.0,2,2,1,0.0,Low,True,True,False
CHEMBL4873479,2,6.528708288941061,6.528708288941061,6.528708288941061,6.528708288941061,0.0,296.0,296.0,296.0,2,2,1,0.0,Low,True,True,False
CHEMBL4875851,2,5.301029995663981,5.301029995663981,5.301029995663981,5.301029995663981,0.0,5000.0,5000.0,5000.0,2,1,1,0.0,Low,True,False,False
CHEMBL488248,2,5.537602002101044,5.537602002101044,5.537602002101044,5.537602002101044,0.0,2900.0,2900.0,2900.0,2,2,1,0.0,Low,True,True,False
CHEMBL488249,2,5.251811972993799,5.251811972993799,5.251811972993799,5.251811972993799,0.0,5600.0,5600.0,5600.0,2,2,1,0.0,Low,True,True,False
CHEMBL488251,2,5.522878745280337,5.522878745280337,5.522878745280337,5.522878745280337,0.0,3000.0,3000.0,3000.0,2,2,1,0.0,Low,True,True,False
CHEMBL488294,2,7.055517327849831,7.055517327849831,7.055517327849831,7.055517327849831,0.0,88.0,88.0,88.0,2,2,1,0.0,Low,True,True,False
CHEMBL488295,2,6.8696662315049934,6.8696662315049934,6.8696662315049934,6.8696662315049934,0.0,135.0,135.0,135.0,2,2,1,0.0,Low,True,True,False
CHEMBL494462,2,5.102372908709558,5.102372908709558,5.102372908709558,5.102372908709558,0.0,7900.0,7900.0,7900.0,2,2,1,0.0,Low,True,True,False
CHEMBL497999,2,6.221848749616356,6.221848749616356,6.221848749616356,6.221848749616356,0.0,600.0,600.0,600.0,2,2,1,0.0,Low,True,True,False
CHEMBL498260,2,6.6777807052660805,6.6777807052660805,6.6777807052660805,6.6777807052660805,0.0,210.0,210.0,210.0,2,2,1,0.0,Low,True,True,False
